src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,header_len,is_malicious
10.193.107.99,17.57.172.4,57835,443,64,0.0,64.0,0,64,0
17.57.172.4,10.193.107.99,443,57835,60,3.504753112792969e-05,62.0,0,60,0
10.193.107.99,17.57.172.4,57835,443,52,3.1948089599609375e-05,58.666666666666664,1,52,0
10.193.107.99,17.57.172.4,57835,443,569,5.1021575927734375e-05,186.25,1,52,0
17.57.172.4,10.193.107.99,443,57835,52,1.001899003982544,159.4,1,52,0
17.57.172.4,10.193.107.99,443,57835,1290,8.296966552734375e-05,347.8333333333333,1,52,0
17.57.172.4,10.193.107.99,443,57835,1290,7.510185241699219e-05,482.42857142857144,1239,52,0
10.193.107.99,17.57.172.4,57835,443,52,4.601478576660156e-05,428.625,518,52,0
17.57.172.4,10.193.107.99,443,57835,382,5.1021575927734375e-05,423.44444444444446,2477,52,0
10.193.107.99,17.57.172.4,57835,443,52,3.3855438232421875e-05,386.3,518,52,0
10.193.107.99,17.57.172.4,57835,443,132,3.814697265625e-05,393.1,518,52,0
10.193.107.99,17.57.172.4,57835,443,353,5.078315734863281e-05,422.4,598,52,0
10.193.107.99,17.57.172.4,57835,443,665,6.318092346191406e-05,483.7,899,52,0
17.57.172.4,10.193.107.99,443,57835,355,0.0001609325408935547,462.3,2807,52,0
17.57.172.4,10.193.107.99,443,57835,355,4.601478576660156e-05,492.6,3110,52,0
10.193.107.99,17.57.172.4,57835,443,52,3.2901763916015625e-05,368.8,1512,52,0
10.193.107.99,17.57.172.4,57835,443,52,3.314018249511719e-05,245.0,1512,52,0
17.57.172.4,10.193.107.99,443,57835,52,0.00022792816162109375,245.0,3413,52,0
17.57.172.4,10.193.107.99,443,57835,343,0.00022792816162109375,241.1,3413,52,0
10.193.107.99,17.57.172.4,57835,443,52,3.910064697265625e-05,241.1,1512,52,0
104.110.176.24,10.193.107.99,443,57821,76,1.002281904220581,235.5,1,52,0
104.110.176.24,10.193.107.99,443,57821,52,3.600120544433594e-05,205.4,25,52,0
10.193.107.99,104.110.176.24,57821,443,52,4.410743713378906e-05,144.1,1,52,0
10.193.107.99,104.110.176.24,57821,443,76,9.799003601074219e-05,116.2,1,52,0
10.193.107.99,104.110.176.24,57821,443,52,4.291534423828125e-05,85.9,25,52,0
