src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,is_malicious
10.193.107.99,17.57.144.38,57373,5223,78,0.0,78.0,1,1
17.57.144.38,10.193.107.99,5223,57373,78,6.198883056640625e-05,78.0,1,0
10.193.107.99,17.57.144.38,57373,5223,52,4.00543212890625e-05,69.33333333333333,27,0
10.193.107.99,96.17.60.35,57513,443,64,2.003865957260132,68.0,0,0
96.17.60.35,10.193.107.99,443,57513,60,3.1948089599609375e-05,66.4,0,0
10.193.107.99,96.17.60.35,57513,443,52,3.0040740966796875e-05,64.0,1,0
10.193.107.99,96.17.60.35,57513,443,569,5.1021575927734375e-05,136.14285714285714,1,0
96.17.60.35,10.193.107.99,443,57513,52,3.2901763916015625e-05,125.625,1,0
96.17.60.35,10.193.107.99,443,57513,1290,7.414817810058594e-05,255.0,1,0
96.17.60.35,10.193.107.99,443,57513,1290,7.200241088867188e-05,358.5,1239,0
96.17.60.35,10.193.107.99,443,57513,1290,7.081031799316406e-05,479.7,2477,0
96.17.60.35,10.193.107.99,443,57513,434,4.7206878662109375e-05,515.3,3715,0
10.193.107.99,96.17.60.35,57513,443,52,3.2901763916015625e-05,515.3,518,0
10.193.107.99,96.17.60.35,57513,443,52,3.0040740966796875e-05,514.1,518,0
96.17.60.35,10.193.107.99,443,57513,1290,7.891654968261719e-05,637.1,4097,0
96.17.60.35,10.193.107.99,443,57513,1290,7.200241088867188e-05,760.9,5335,0
96.17.60.35,10.193.107.99,443,57513,405,4.410743713378906e-05,744.5,6573,0
10.193.107.99,96.17.60.35,57513,443,52,3.0994415283203125e-05,744.5,518,0
10.193.107.99,96.17.60.35,57513,443,52,3.0040740966796875e-05,620.7,518,0
10.193.107.99,96.17.60.35,57513,443,132,1.0021939277648926,504.9,518,0
10.193.107.99,96.17.60.35,57513,443,1290,0.00010800361633300781,504.9,598,0
10.193.107.99,96.17.60.35,57513,443,551,6.008148193359375e-05,516.6,1836,0
96.17.60.35,10.193.107.99,443,57513,339,4.482269287109375e-05,545.3,6926,0
96.17.60.35,10.193.107.99,443,57513,339,4.410743713378906e-05,574.0,7213,0
10.193.107.99,96.17.60.35,57513,443,52,3.886222839355469e-05,450.2,2335,0
96.17.60.35,10.193.107.99,443,57513,52,3.218650817871094e-05,326.4,7500,0
96.17.60.35,10.193.107.99,443,57513,113,4.291534423828125e-05,297.2,7500,0
96.17.60.35,10.193.107.99,443,57513,83,3.2901763916015625e-05,300.3,7561,0
10.193.107.99,96.17.60.35,57513,443,52,3.0994415283203125e-05,300.3,2335,0
10.193.107.99,96.17.60.35,57513,443,83,7.915496826171875e-05,295.4,2335,0
96.17.60.35,10.193.107.99,443,57513,1290,8.797645568847656e-05,295.4,7592,0
96.17.60.35,10.193.107.99,443,57513,143,4.00543212890625e-05,254.6,8830,0
96.17.60.35,10.193.107.99,443,57513,1290,0.0002589225769042969,349.7,8921,0
96.17.60.35,10.193.107.99,443,57513,1290,7.390975952148438e-05,444.8,10159,0
96.17.60.35,10.193.107.99,443,57513,1290,0.0001499652862548828,568.6,11397,0
10.193.107.99,96.17.60.35,57513,443,52,4.506111145019531e-05,568.6,2366,0
10.193.107.99,96.17.60.35,57513,443,52,3.504753112792969e-05,562.5,2366,0
96.17.60.35,10.193.107.99,443,57513,1290,6.890296936035156e-05,683.2,12635,0
96.17.60.35,10.193.107.99,443,57513,1290,7.700920104980469e-05,807.0,13873,0
96.17.60.35,10.193.107.99,443,57513,1290,0.0002830028533935547,927.7,15111,0
96.17.60.35,10.193.107.99,443,57513,1290,8.511543273925781e-05,927.7,16349,0
96.17.60.35,10.193.107.99,443,57513,1290,8.702278137207031e-05,1042.4,17587,0
96.17.60.35,10.193.107.99,443,57513,1290,7.486343383789062e-05,1042.4,18825,0
