src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,is_malicious
67.195.204.56,192.168.0.194,443,51250,76,0.0,76.0,0
67.195.204.56,192.168.0.194,443,51250,52,3.1948089599609375e-05,64.0,0
67.195.204.56,192.168.0.194,443,51250,52,3.814697265625e-05,60.0,0
192.168.0.194,67.195.204.56,51250,443,52,3.2901763916015625e-05,58.0,0
192.168.0.194,67.195.204.56,51250,443,76,3.910064697265625e-05,61.6,0
192.168.0.194,67.195.204.56,51250,443,52,3.0040740966796875e-05,60.0,0
67.195.204.56,192.168.0.194,443,51250,40,0.00010991096496582031,57.142857142857146,0
67.195.204.56,192.168.0.194,443,51250,40,0.0002770423889160156,55.0,0
192.168.0.194,52.15.215.21,51248,443,91,4.010257005691528,59.0,0
192.168.0.194,52.15.215.21,51249,443,91,1.5974044799804688e-05,62.2,0
192.168.0.194,52.15.215.21,51248,443,76,1.2874603271484375e-05,62.2,0
192.168.0.194,52.15.215.21,51249,443,76,1.3113021850585938e-05,64.6,0
52.15.215.21,192.168.0.194,443,51248,52,1.5020370483398438e-05,64.6,0
52.15.215.21,192.168.0.194,443,51249,52,1.2874603271484375e-05,64.6,0
52.15.215.21,192.168.0.194,443,51249,76,1.0025639533996582,64.6,0
52.15.215.21,192.168.0.194,443,51249,52,3.123283386230469e-05,64.6,0
192.168.0.194,52.15.215.21,51249,443,40,2.47955322265625e-05,64.6,0
192.168.0.194,52.15.215.21,51249,443,40,2.9087066650390625e-05,64.6,0
192.168.0.194,52.15.215.21,51248,443,76,2.288818359375e-05,63.1,0
52.15.215.21,192.168.0.194,443,51249,52,2.4080276489257812e-05,59.2,0
192.168.0.194,52.15.215.21,51249,443,40,2.3126602172851562e-05,55.6,0
52.15.215.21,192.168.0.194,443,51249,76,0.00011801719665527344,55.6,0
192.168.0.194,52.15.215.21,51249,443,40,2.193450927734375e-05,54.4,0
52.15.215.21,192.168.0.194,443,51248,76,0.0004019737243652344,56.8,0
52.15.215.21,192.168.0.194,443,51248,52,2.5033950805664062e-05,54.4,0
192.168.0.194,52.15.215.21,51248,443,40,0.0002110004425048828,53.2,0
192.168.0.194,52.15.215.21,51248,443,40,2.8848648071289062e-05,53.2,0
17.57.144.155,192.168.0.194,5223,51238,339,23.05033302307129,83.1,1
17.57.144.155,192.168.0.194,5223,51238,78,0.0002319812774658203,83.3,0
192.168.0.194,17.57.144.155,51238,5223,52,2.09808349609375e-05,83.3,0
192.168.0.194,17.57.144.155,51238,5223,84,1.71661376953125e-05,87.7,0
192.168.0.194,17.57.144.155,51238,5223,1288,4.291534423828125e-05,208.9,0
17.57.144.155,192.168.0.194,5223,51238,52,1.5974044799804688e-05,210.1,0
17.57.144.155,192.168.0.194,5223,51238,184,1.9073486328125e-05,220.9,0
192.168.0.194,17.57.144.155,51238,5223,52,1.5020370483398438e-05,220.9,0
192.168.0.194,17.57.144.155,51238,5223,84,1.2874603271484375e-05,225.3,0
17.57.144.155,192.168.0.194,5223,51238,52,1.3113021850585938e-05,226.5,0
17.57.144.155,192.168.0.194,5223,51238,88,1.2874603271484375e-05,201.4,0
192.168.0.194,17.57.144.155,51238,5223,52,1.3113021850585938e-05,198.8,0
17.57.144.155,192.168.0.194,5223,51238,52,3.600120544433594e-05,198.8,0
192.168.0.194,17.248.200.67,51251,443,64,3.695487976074219e-05,196.8,0
17.248.200.67,192.168.0.194,443,51251,60,1.0967254638671875e-05,74.0,0
192.168.0.194,17.248.200.67,51251,443,52,1.0967254638671875e-05,74.0,0
192.168.0.194,17.248.200.67,51251,443,569,2.002716064453125e-05,112.5,0
17.57.144.155,192.168.0.194,5223,51238,131,1.4066696166992188e-05,120.4,0
192.168.0.194,17.57.144.155,51238,5223,52,1.0967254638671875e-05,117.2,0
192.168.0.194,17.57.144.155,51238,5223,84,1.1920928955078125e-05,120.4,0
17.57.144.155,192.168.0.194,5223,51238,131,1.4066696166992188e-05,124.7,0
17.248.200.67,192.168.0.194,443,51251,52,1.2159347534179688e-05,124.7,0
192.168.0.194,17.57.144.155,51238,5223,52,1.1920928955078125e-05,124.7,0
17.248.200.67,192.168.0.194,443,51251,1500,3.0994415283203125e-05,268.3,0
17.248.200.67,192.168.0.194,443,51251,1500,2.9087066650390625e-05,412.3,0
17.248.200.67,192.168.0.194,443,51251,1252,2.6941299438476562e-05,532.3,0
17.248.200.67,192.168.0.194,443,51251,1500,2.8848648071289062e-05,625.4,0
17.248.200.67,192.168.0.194,443,51251,856,2.09808349609375e-05,697.9,0
192.168.0.194,17.248.200.67,51251,443,52,1.2159347534179688e-05,697.9,0
192.168.0.194,17.248.200.67,51251,443,52,1.0967254638671875e-05,694.7,0
192.168.0.194,17.248.200.67,51251,443,52,1.0967254638671875e-05,686.8,0
192.168.0.194,17.57.144.155,51238,5223,84,1.0967254638671875e-05,690.0,0
17.57.144.155,192.168.0.194,5223,51238,159,1.5974044799804688e-05,700.7,0
17.57.144.155,192.168.0.194,5223,51238,159,1.4066696166992188e-05,566.6,0
192.168.0.194,17.57.144.155,51238,5223,52,1.1920928955078125e-05,421.8,0
192.168.0.194,17.57.144.155,51238,5223,84,1.1205673217773438e-05,305.0,0
192.168.0.194,17.57.144.155,51238,5223,84,1.1920928955078125e-05,163.4,0
17.57.144.155,192.168.0.194,5223,51238,52,1.0967254638671875e-05,83.0,0
192.168.0.194,17.248.200.67,51251,443,145,1.3113021850585938e-05,92.3,0
17.57.144.155,192.168.0.194,5223,51238,52,1.1920928955078125e-05,92.3,0
17.248.200.67,192.168.0.194,443,51251,103,1.1920928955078125e-05,97.4,0
192.168.0.194,17.248.200.67,51251,443,52,1.0967254638671875e-05,94.2,0
192.168.0.194,17.248.200.67,51251,443,1158,2.7179718017578125e-05,194.1,0
192.168.0.194,17.248.200.67,51251,443,1143,2.5987625122070312e-05,292.5,0
192.168.0.194,17.248.200.67,51251,443,1500,0.9951279163360596,437.3,0
17.248.200.67,192.168.0.194,443,51251,52,0.00018310546875,434.1,0
17.248.200.67,192.168.0.194,443,51251,1403,3.695487976074219e-05,566.0,0
192.168.0.194,17.248.200.67,51251,443,52,1.3828277587890625e-05,566.0,0
17.248.200.67,192.168.0.194,443,51251,64,0.00024700164794921875,557.9,0
192.168.0.194,17.248.200.67,51251,443,1171,3.0040740966796875e-05,669.8,0
192.168.0.194,17.248.200.67,51251,443,1500,3.314018249511719e-05,809.5,0
192.168.0.194,17.248.200.67,51251,443,85,2.002716064453125e-05,812.8,0
17.248.200.67,192.168.0.194,443,51251,52,0.0009829998016357422,702.2,0
192.168.0.194,17.248.200.67,51251,443,1500,0.0008788108825683594,737.9,0
17.248.200.67,192.168.0.194,443,51251,52,0.0008101463317871094,593.1,0
17.248.200.67,192.168.0.194,443,51251,52,1.2874603271484375e-05,593.1,0
17.248.200.67,192.168.0.194,443,51251,64,0.0013680458068847656,459.2,0
17.248.200.67,192.168.0.194,443,51251,953,0.00021195411682128906,549.3,0
192.168.0.194,17.248.200.67,51251,443,52,2.8133392333984375e-05,548.1,0
192.168.0.194,17.248.200.67,51251,443,1164,1.004317045211792,547.4,0
192.168.0.194,17.248.200.67,51251,443,1142,4.792213439941406e-05,511.6,0
17.248.200.67,192.168.0.194,443,51251,52,2.6941299438476562e-05,508.3,0
17.248.200.67,192.168.0.194,443,51251,52,1.811981201171875e-05,508.3,0
17.248.200.67,192.168.0.194,443,51251,997,2.47955322265625e-05,458.0,0
17.57.144.155,192.168.0.194,5223,51238,184,2.3126602172851562e-05,471.2,1
17.57.144.155,192.168.0.194,5223,51238,184,1.5974044799804688e-05,484.4,0
192.168.0.194,17.57.144.155,51238,5223,52,1.3113021850585938e-05,483.2,0
192.168.0.194,17.248.200.67,51251,443,52,1.3828277587890625e-05,393.1,0
192.168.0.194,17.57.144.155,51238,5223,84,1.5020370483398438e-05,396.3,0
192.168.0.194,17.57.144.155,51238,5223,84,1.2159347534179688e-05,288.3,0
192.168.0.194,17.248.200.67,51251,443,1158,0.00020885467529296875,289.9,0
192.168.0.194,17.248.200.67,51251,443,1143,5.2928924560546875e-05,399.0,0
192.168.0.194,17.248.200.67,51252,443,64,2.5033950805664062e-05,400.2,0
17.57.144.155,192.168.0.194,5223,51238,52,7.700920104980469e-05,305.7,0
17.248.200.67,192.168.0.194,443,51251,52,2.6941299438476562e-05,292.5,0
17.248.200.67,192.168.0.194,443,51251,52,2.2172927856445312e-05,279.3,0
17.248.200.67,192.168.0.194,443,51252,60,2.193450927734375e-05,280.1,0
192.168.0.194,17.248.200.67,51252,443,52,2.09808349609375e-05,280.1,0
192.168.0.194,17.248.200.67,51252,443,569,0.00022912025451660156,328.6,0
17.248.200.67,192.168.0.194,443,51252,52,0.00033283233642578125,325.4,0
17.248.200.67,192.168.0.194,443,51252,52,2.3126602172851562e-05,214.8,0
17.248.200.67,192.168.0.194,443,51252,1500,6.29425048828125e-05,250.5,0
17.248.200.67,192.168.0.194,443,51252,1500,5.602836608886719e-05,394.1,0
17.248.200.67,192.168.0.194,443,51252,1252,0.00010609626770019531,514.1,0
